# Configuración de la máquina de Turing
estado_inicial;1
posicion_cabeza;8
archivo_estados;estados_fibonacci.csv

# Transiciones
1;▲;▲;R;2
2;0;0;R;2
2;1;1;R;2
2;#;#;R;2
2;▲;▲;L;3
3;0;0;L;3
3;1;1;L;3
3;#;#;L;4
4;0;*;L;5
4;1;*;L;10
5;0;0;L;5
5;1;1;L;5
5;#;#;L;5
5;▲;▲;L;6
6;0;0;L;6
6;1;1;L;6
6;▲;0;R;7
7;0;0;R;7
7;1;1;R;7
7;▲;▲;R;7
7;#;#;R;7
7;*;0;L;8
8;0;0;N;4
8;1;1;N;4
8;▲;▲;R;9
8;#;#;R;9
9;0;0;R;9
9;1;1;R;9
9;#;#;R;9
9;▲;#;L;13
10;0;0;L;10
10;1;1;L;10
10;#;#;L;10
10;▲;▲;L;11
11;0;0;L;11
11;1;1;L;11
11;▲;1;R;12
12;0;0;R;12
12;1;1;R;12
12;▲;▲;R;12
12;#;#;R;12
12;*;1;L;8
13;0;0;L;13
13;1;1;L;13
13;#;#;R;14
14;0;*;R;15
14;1;*;R;18
15;0;0;R;15
15;1;1;R;15
15;#;#;R;15
15;▲;0;L;16
16;0;0;L;16
16;1;1;L;16
16;#;#;L;16
16;*;0;R;17
17;0;0;N;14
17;1;1;N;14
17;#;#;L;20
18;0;0;R;18
18;1;1;R;18
18;#;#;R;18
18;▲;1;L;19
19;0;0;L;19
19;1;1;L;19
19;#;#;L;19
19;*;1;R;17
20;#;#;L;20
20;0;0;L;20
20;1;1;L;20
20;▲;▲;L;21
21;0;0;L;22
21;1;0;R;26
22;0;0;L;22
22;1;1;R;23
22;▲;▲;R;34
23;0;0;R;23
23;1;1;R;23
23;▲;▲;L;24
24;0;1;L;25
24;1;0;R;26
25;0;1;L;25
25;1;0;R;26
26;#;#;R;26
26;0;0;R;26
26;1;1;R;26
26;▲;▲;R;27
27;#;#;R;27
27;0;0;R;27
27;1;1;R;27
27;▲;▲;L;28
28;1;0;L;29
28;0;1;N;30
29;1;0;L;29
29;#;#;R;31
29;0;1;N;30
30;1;1;N;20
31;0;1;R;32
32;0;0;R;32
32;1;1;R;32
32;▲;0;N;33
33;0;0;N;20
34;#;#;R;34
34;0;0;R;34
34;1;1;R;34
34;▲;*;L;35
35;0;▲;L;35
35;▲;▲;R;36
36;▲;▲;R;36
36;*;▲;N;37
